one,one.mp3
two,two.mp3
three,three.mp3
four,four.mp3
five,five.mp3
six,six.mp3
seven,seven.mp3
eight,eight.mp3
nine,nine.mp3
ten,ten.mp3
brown,brown.mp3
blue,blue.mp3
black,black.mp3
grey,grey.mp3
green,green.mp3
red,red.mp3
purple,purple.mp3
yellow,yellow.mp3
white,white.mp3
coconut,coconut.mp3
cherry,cherry.mp3
banana,banana.mp3
apple,apple.mp3
pear,pear.mp3
peach,peach.mp3
kiwi,kiwi.mp3
grape,grape.mp3
watelemon,watelemon.mp3
pineapple,pineapple.mp3
strawberry,strawberry.mp3
car,car.mp3
bycicle,bycicle.mp3
bus,bus.mp3
boat,boat.mp3
bed,bed.mp3
airplane,airplane.mp3
motorcycle,motorcycle.mp3
laptop,laptop.mp3
chair,chair.mp3
dinnig table,dinnig table.mp3
couch,couch.mp3
truck,truck.mp3
tv,tv.mp3
pottedplant,pottedplant.mp3
pomegrante,pomegrante.mp3
cucumber,cucumber.mp3
pink,pink.mp3
orange,orange.mp3
grey,grey.mp3
microwave,microwave.mp3
oven,oven.mp3
book,book.mp3
clock,clock.mp3
vase,vase.mp3
